"BUSINESS_NO","BUS_LIC_NO","CODE","ITEM","DESCRIPTION","QUANTITY","FORMULA","AMOUNT","ACCOUNT","PAID","LOCKID","COMMENTS","PARENTID","RECORDID","ASSESSED_DATE","ASSESSED_BY","SUBFEETYPE","DEPOSITID","PROFFERID","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"13369","13369","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201051224099723","4MM:2201051224099727","2022-01-05 00:00:00","4MM","FEE","","","0","00000000A2F863C4","2733313160","0"
"13369","13369","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201051224099723","4MM:2201051224099729","2022-01-05 00:00:00","4MM","FEE","","","0","00000000A2F863C3","2733313163","0"
"13372","13372","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201071130472587","4MM:2201071130472590","2022-01-07 00:00:00","4MM","FEE","","","0","00000000A306F86E","2735135243","0"
"13372","13372","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201071130472587","4MM:2201071130472591","2022-01-07 00:00:00","4MM","FEE","","","0","00000000A306F86D","2735135246","0"
"13392","13392","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201270843133197","4MM:2201270843133201","2022-01-27 00:00:00","4MM","FEE","","","0","00000000A72E5807","2749321968","0"
"13392","13392","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201270843133197","4MM:2201270843133203","2022-01-27 00:00:00","4MM","FEE","","","0","00000000A72E5806","2749321971","0"
"13399","13399","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202011208489440","4MM:2202011208489444","2022-02-01 00:00:00","4MM","FEE","","","0","00000000A72E5839","2753691273","0"
"13399","13399","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202011208489440","4MM:2202011208489446","2022-02-01 00:00:00","4MM","FEE","","","0","00000000A72E5838","2753691276","0"
"11606","11606","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202020843179946","4MM:2202020843189949","2022-02-02 00:00:00","4MM","FEE","","","0","00000000A50000F8","2754262011","0"
"11606","11606","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202020843179946","4MM:2202020843189951","2022-02-02 00:00:00","4MM","FEE","","","0","00000000A50000F7","2754262016","0"
"13408","13408","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202180938429902","4MM:2202180938439906","2022-02-18 00:00:00","4MM","FEE","","","0","00000000AA64747B","2778794716","0"
"13408","13408","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202180938429902","4MM:2202180938439908","2022-02-18 00:00:00","4MM","FEE","","","0","00000000AA64747A","2778794719","0"
"13440","13440","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2204051131134366","4MM:2204051131134370","2022-04-05 00:00:00","4MM","FEE","","","0","00000000B2560979","2816081865","0"
