BUS_LIC_NO,REMARKS,InspectionType,INSPECTOR,SCHEDULED_DATE,SCHEDULED_TIME,COMPLETED_DATE,COMPLETED_TIME,DURATION,RESULT,NOTES,LOCKID,RECORDID,DURATION_EST,CREATED_DATE,CREATED_TIME,CREATED_BY,SEQID,CAPOVERRIDE,update_originator_id,update_timestamp,create_timestamp,exID,PathURL,PathURLDateAdded,insert_originator_id
683,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608101,,,,,,,,000000000026CA3B,,,,,
3287,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081010,,,,,,,,000000000026CA3C,,,,,
3288,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081011,,,,,,,,000000000026CA3D,,,,,
3289,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081012,,,,,,,,000000000026CA3E,,,,,
3284,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081013,,,,,,,,000000000026CA3F,,,,,
3290,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081014,,,,,,,,000000000026CA40,,,,,
1935,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081015,,,,,,,,000000000026CA41,,,,,
3291,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081016,,,,,,,,000000000026CA42,,,,,
3292,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081017,,,,,,,,000000000026CA43,,,,,
3293,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081018,,,,,,,,000000000026CA44,,,,,
2089,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608102,,,,,,,,000000000026CA46,,,,,
3295,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081020,,,,,,,,000000000026CA47,,,,,
3296,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081021,,,,,,,,000000000026CA48,,,,,
2932,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081022,,,,,,,,000000000026CA49,,,,,
3299,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081023,,,,,,,,000000000026CA4A,,,,,
3300,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081024,,,,,,,,000000000026CA4B,,,,,
3301,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081025,,,,,,,,000000000026CA4C,,,,,
3302,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081026,,,,,,,,000000000026CA4D,,,,,
3303,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081027,,,,,,,,000000000026CA4E,,,,,
3304,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081028,,,,,,,,000000000026CA4F,,,,,
3305,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081029,,,,,,,,000000000026CA50,,,,,
3306,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081030,,,,,,,,000000000026CA52,,,,,
3298,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081031,,,,,,,,000000000026CA53,,,,,
3307,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081032,,,,,,,,000000000026CA54,,,,,
3308,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081033,,,,,,,,000000000026CA55,,,,,
3297,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081034,,,,,,,,000000000026CA56,,,,,
3309,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081035,,,,,,,,000000000026CA57,,,,,
3310,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081036,,,,,,,,000000000026CA58,,,,,
3311,,FIRE LIFESAFETY,,,,2/1/2011 0:00,,,,,,YOLO:1102011436081037,,2/1/2011 0:00,,,,,,000000000026CA59,,,,,
3312,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081038,,,,,,,,000000000026CA5A,,,,,
3313,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081039,,,,,,,,000000000026CA5B,,,,,
2837,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608104,,,,,,,,000000000026CA5C,,,,,
3314,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081040,,,,,,,,000000000026CA5D,,,,,
3315,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081041,,,,,,,,000000000026CA5E,,,,,
3316,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081042,,,,,,,,000000000026CA5F,,,,,
3317,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081043,,,,,,,,000000000026CA60,,,,,
3318,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081044,,,,,,,,000000000026CA61,,,,,
3319,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081045,,,,,,,,000000000026CA62,,,,,
3320,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081046,,,,,,,,000000000026CA63,,,,,
3324,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081048,,,,,,,,000000000026CA65,,,,,
3321,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081049,,,,,,,,000000000026CA66,,,,,
