"BUS_LIC_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"1352","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608677","","","","","","","","000000000026D5F1","","","","",""
"2817","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608680","","","","","","","","000000000026D5F5","","","","",""
"1362","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608682","","","","","","","","000000000026D5F7","","","","",""
"2151","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608683","","","","","","","","000000000026D5F8","","","","",""
"1363","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608684","","","","","","","","000000000026D5F9","","","","",""
"1780","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608685","","","","","","","","000000000026D5FA","","","","",""
"2230","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608687","","","","","","","","000000000026D5FC","","","","",""
"1428","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608699","","","","","","","","000000000026D60A","","","","",""
"2094","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608741","","","","","","","","000000000026D63A","","","","",""
"200","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608745","","","","","","","","000000000026D63E","","","","",""
"3055","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608778","","","","","","","","000000000026D662","","","","",""
"3058","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608781","","","","","","","","000000000026D666","","","","",""
"3068","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608791","","","","","","","","000000000026D671","","","","",""
"3073","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608796","","","","","","","","000000000026D676","","","","",""
"3089","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608812","","","","","","","","000000000026D689","","","","",""
"3091","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608814","","","","","","","","000000000026D68B","","","","",""
"3094","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608817","","","","","","","","000000000026D68E","","","","",""
"3107","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608829","","","","","","","","000000000026D69B","","","","",""
"3119","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608841","","","","","","","","000000000026D6A9","","","","",""
"3124","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608847","","","","","","","","000000000026D6AF","","","","",""
"3157","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608878","","","","","","","","000000000026D6D1","","","","",""
"3158","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608879","","","","","","","","000000000026D6D2","","","","",""
"3159","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608880","","","","","","","","000000000026D6D4","","","","",""
"3213","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608938","","","","","","","","000000000026D715","","","","",""
"3223","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608948","","","","","","","","000000000026D720","","","","",""
"3226","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608951","","","","","","","","000000000026D724","","","","",""
"3231","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608956","","","","","","","","000000000026D729","","","","",""
"3234","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608957","","","","","","","","000000000026D72A","","","","",""
"3249","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608972","","","","","","","","000000000026D73B","","","","",""
"3259","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608982","","","","","","","","000000000026D746","","","","",""
"3260","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608983","","","","","","","","000000000026D747","","","","",""
"3261","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608984","","","","","","","","000000000026D748","","","","",""
"3269","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608991","","","","","","","","000000000026D750","","","","",""
